Name,Released Year,Age limit,Duration,Type,Stars
The Sea Beast,2022,7+ ,1h 59m,Kids & Family Movies,"Karl Urban, Zaris-Angel Hator, Jared Harris"
Purple Hearts,2022,16+ ,2h 2m,Romantic Movies,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs"
The Gray Man,2022,16+ ,2h 9m,Action & Adventure,"Ryan Gosling, Chris Evans, Ana de Armas"
We Can Be Heroes,2020,7+ ,1h 40m,Kids & Family Movies,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas"
Back to the Outback,2021,7+ ,1h 35m,Kids & Family Movies,"Isla Fisher, Tim Minchin, Eric Bana"
The SpongeBob Movie: Sponge on the Run,2020,7+ ,1h 35m,Kids & Family Movies,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass"
Red Notice,2021,13+ ,1h 58m,Action & Adventure,"Dwayne Johnson, Ryan Reynolds, Gal Gadot"
The Secret Life of Pets,2016,All ,1h 26m,Kids & Family Movies,"Louis C.K., Eric Stonestreet, Kevin Hart"
Fullmetal Alchemist The Revenge of Scar,2022,13+ ,2h 5m,Sci-Fi Movies,"Ryosuke Yamada, Tsubasa Honda, Dean Fujioka"
Shrek,2001,7+ ,1h 30m,Kids & Family Movies,"Mike Myers, Eddie Murphy, Cameron Diaz"
Rascals on Duty,2020,7+ ,1h 24m,Kids & Family Movies,"Berat Efe Parlar, Gaye Balım Parlak, Burak Hakkı"
Hotel Transylvania 2,2015,7+ ,1h 29m,Kids & Family Movies,"Adam Sandler, Andy Samberg, Selena Gomez"
Madagascar,2005,7+ ,1h 26m,Kids & Family Movies,"Ben Stiller, Chris Rock, David Schwimmer"
Look Both Ways,2022,16+ ,1h 51m,Romantic Movies,"Lili Reinhart, Danny Ramirez, David Corenswet"
Madagascar 3: Europe's Most Wanted,2012,7+ ,1h 35m,Kids & Family Movies,"Ben Stiller, Chris Rock, David Schwimmer"
The Karate Kid,2010,7+ ,2h 20m,Kids & Family Movies,"Jaden Smith, Jackie Chan, Taraji P. Henson"
Penguins of Madagascar: The Movie,2014,7+ ,1h 32m,Kids & Family Movies,"Tom McGrath, Christopher Knights, Chris Miller"
Heartsong,2022,16+ ,1h 35m,Romantic Movies,"Erkan Kolçak Köstendil, Hazar Ergüçlü, Bülent Emin Yarar"
Feel the Beat,2020,7+ ,1h 50m,Kids & Family Movies,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin"
Kung Fu Panda,2008,7+ ,1h 34m,Kids & Family Movies,"Jack Black, Dustin Hoffman, Angelina Jolie"
YES DAY,2021,7+ ,1h 29m,Kids & Family Movies,"Jennifer Garner, Edgar Ramírez, Jenna Ortega"
The SpongeBob Movie: Sponge Out of Water,2015,All ,1h 35m,Kids & Family Movies,"Tom Kenny, Antonio Banderas, Clancy Brown"
Wish Dragon,2021,7+ ,1h 42m,Kids & Family Movies,"Jimmy Wong, John Cho, Constance Wu"
Shrek Forever After,2010,7+ ,1h 35m,Kids & Family Movies,"Mike Myers, Eddie Murphy, Cameron Diaz"
The Angry Birds Movie 2,2019,7+ ,1h 36m,Kids & Family Movies,"Jason Sudeikis, Rachel Bloom, Leslie Jones"
The SpongeBob SquarePants Movie,2004,7+ ,1h 28m,Kids & Family Movies,"Tom Kenny, Clancy Brown, Rodger Bumpass"
The Emoji Movie,2017,7+ ,1h 27m,Kids & Family Movies,"T.J. Miller, James Corden, Anna Faris"
Rescued by Ruby,2022,7+ ,1h 33m,Kids & Family Movies,"Grant Gustin, Scott Wolf, Kaylah Zander"
Top Gun,1986,16+ ,1h 49m,Romantic Movies,"Tom Cruise, Kelly McGillis, Val Kilmer"
Monster House,2006,7+ ,1h 30m,Kids & Family Movies,"Mitchel Musso, Sam Lerner, Spencer Locke"
Catch Me If You Can,2002,16+ ,2h 21m,Movies Based on Real Life,"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
Spirited Away,2001,13+ ,2h 5m,Fantasy Anime,"Rumi Hiiragi, Miyu Irino, Mari Natsuki"
The Croods,2013,7+ ,1h 38m,Kids & Family Movies,"Nicolas Cage, Emma Stone, Ryan Reynolds"
Miracle in Cell No. 7,2019,16+ ,2h 12m,Social Issue Dramas,"Aras Bulut İynemli, Nisa Sofiya Aksongur, Deniz Baysal"
Enola Holmes,2020,13+ ,2h 4m,Action & Adventure,"Millie Bobby Brown, Henry Cavill, Sam Claflin"
The Croods: A New Age,2020,7+ ,1h 35m,Kids & Family Movies,"Nicolas Cage, Emma Stone, Ryan Reynolds"
Brother in Love 2,2021,13+ ,1h 58m,Comedies,"Cem Gelinoğlu, Melis Babadağ, Hakan Yılmaz"
Kung Fu Panda 3,2016,7+ ,1h 34m,Kids & Family Movies,"Jack Black, Bryan Cranston, Dustin Hoffman"
The Loud House Movie,2021,7+ ,1h 27m,Kids & Family Movies,"Asher Bishop, David Tennant, Michelle Gomez"
The Next 365 Days,2022,18+ ,1h 53m,Movies Based on Books,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna"
Day Shift,2022,18+ ,1h 53m,Comedies,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo"
Red Notice,2021,13+ ,1h 58m,Action & Adventure,"Dwayne Johnson, Ryan Reynolds, Gal Gadot"
Fullmetal Alchemist The Revenge of Scar,2022,13+ ,2h 5m,Sci-Fi Movies,"Ryosuke Yamada, Tsubasa Honda, Dean Fujioka"
Look Both Ways,2022,16+ ,1h 51m,Romantic Movies,"Lili Reinhart, Danny Ramirez, David Corenswet"
365 Days: This Day,2022,18+ ,1h 51m,Movies Based on Books,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna"
Heartsong,2022,16+ ,1h 35m,Romantic Movies,"Erkan Kolçak Köstendil, Hazar Ergüçlü, Bülent Emin Yarar"
Don't Look Up,2021,18+ ,2h 18m,Comedies,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep"
Brother in Love 2,2021,13+ ,1h 58m,Comedies,"Cem Gelinoğlu, Melis Babadağ, Hakan Yılmaz"
Hep Yek 4: Bela Okuma Altan,2021,16+ ,1h 54m,Comedies,"İnan Ulaş Torun, Önder Açıkbaş, Yıldırım Memişoğlu"
Hustle,2022,16+ ,1h 58m,Comedies,"Adam Sandler, Juancho Hernangómez, Queen Latifah"
The Adam Project,2022,13+ ,1h 46m,Comedies,"Ryan Reynolds, Mark Ruffalo, Jennifer Garner"
Royalteen,2022,18+ ,1h 48m,Teen Movies,"Ines Høysæter Asserson, Mathias Storhøi, Elli Müller Osborne"
In Good Hands,2022,16+ ,1h 45m,Romantic Movies,"Aslı Enver, Kaan Urgancıoğlu, Mert Ege Ak"
Love Tactics,2022,13+ ,1h 38m,Romantic Movies,"Demet Özdemir, Şükrü Özyıldız, Atakan Çelik"
Through My Window,2022,18+ ,1h 53m,Teen Movies,"Clara Galle, Julio Peña Fernández, Guillermo Lasheras"
Darlings,2022,16+ ,2h 14m,Thriller Movies,"Alia Bhatt, Shefali Shah, Vijay Varma"
Wedding Season,2022,13+ ,1h 37m,Romantic Movies,"Pallavi Sharda, Suraj Sharma, Arianna Afsar"
The Man from Toronto,2022,13+ ,1h 52m,Comedies,"Kevin Hart, Woody Harrelson, Kaley Cuoco"
Persuasion,2022,7+ ,1h 49m,Romantic Movies,"Dakota Johnson, Cosmo Jarvis, Nikki Amuka-Bird"
Doom of Love,2022,16+ ,1h 40m,Romantic Movies,"Boran Kuzum, Pınar Deniz, Yiğit Kirazcı"
Carter,2022,18+ ,2h 14m,Action & Adventure,"Joo Won, Lee Sung-jae, Jeong So-ri"
Incantation,2022,18+ ,1h 51m,Horror Movies,"Tsai Hsuan-yen, Huang Sin-ting, Kao Ying-hsuan"
The Royal Treatment,2022,13+ ,1h 37m,Romantic Movies,"Laura Marano, Mena Massoud, Chelsie Preston Crayford"
Army of Thieves,2021,16+ ,2h 9m,Thriller Movies,"Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee"
Gangubai Kathiawadi,2022,16+ ,2h 33m,Hindi-Language Movies,"Alia Bhatt, Vijay Raaz, Seema Pahwa"
Godspeed,2022,18+ ,1h 58m,Dramas,"Engin Akyürek, Tolga Sarıtaş, Belfu Benian"
RRR (Hindi),2022,18+ ,3h 5m,Action & Adventure,"NTR Jr., Ram Charan, Ajay Devgn"
Code Name: Emperor,2022,18+ ,1h 45m,Thriller Movies,"Luis Tosar, Alexandra Masangkay, Georgina Amorós"
Against The Ice,2022,13+ ,1h 43m,Movies Based on Real Life,"Nikolaj Coster-Waldau, Joe Cole, Heida Reed"
Furioza,2022,18+ ,2h 20m,Action & Adventure,"Mateusz Banasiuk, Weronika Książkiewicz, Mateusz Damięcki"
The Unforgivable,2021,18+ ,1h 54m,Crime Movies,"Sandra Bullock, Vincent D'Onofrio, Viola Davis"
A Quiet Place Part II,2021,16+ ,1h 37m,Horror Movies,"Emily Blunt, Cillian Murphy, Millie Simmonds"
He's All That,2021,13+ ,1h 31m,Teen Movies,"Addison Rae, Tanner Buchanan, Rachael Leigh Cook"
Texas Chainsaw Massacre,2022,18+ ,1h 23m,Horror Movies,"Sarah Yarkin, Elsie Fisher, Mark Burnham"
The In Between,2022,18+ ,1h 57m,Teen Movies,"Joey King, Kyle Allen, Kim Dickens"
The Secret Life of Pets,2016,All ,1h 26m,Kids & Family Movies,"Louis C.K., Eric Stonestreet, Kevin Hart"
Shrek,2001,7+ ,1h 30m,Kids & Family Movies,"Mike Myers, Eddie Murphy, Cameron Diaz"
Rascals on Duty,2020,7+ ,1h 24m,Kids & Family Movies,"Berat Efe Parlar, Gaye Balım Parlak, Burak Hakkı"
Hotel Transylvania 2,2015,7+ ,1h 29m,Kids & Family Movies,"Adam Sandler, Andy Samberg, Selena Gomez"
Madagascar,2005,7+ ,1h 26m,Kids & Family Movies,"Ben Stiller, Chris Rock, David Schwimmer"
Madagascar 3: Europe's Most Wanted,2012,7+ ,1h 35m,Kids & Family Movies,"Ben Stiller, Chris Rock, David Schwimmer"
Penguins of Madagascar: The Movie,2014,7+ ,1h 32m,Kids & Family Movies,"Tom McGrath, Christopher Knights, Chris Miller"
Heartsong,2022,16+ ,1h 35m,Romantic Movies,"Erkan Kolçak Köstendil, Hazar Ergüçlü, Bülent Emin Yarar"
